,title,author,genre,story
42,"[BLovers] 호랑이 빙의 회장, 대전 요청합니다.",글/그림 / 유쿠라 아키 / 12화 완결 / ,BL,엄청난 싸움 바보 사루타 코스케는 학생회장 후지시로 센쥬의 숨겨진 강함을 눈치채고 일대일 승부를 청한다. 강함의 비밀― 사실 센쥬는 저주받은 ‘호랑이 빙의’ 체질이었다!! 코스케는 센쥬의 강함에 반해서 ‘싸움 계약’을 맺는데―?! 미남이 야수?! 양아치 BOY와 사연 있는 학생회장의 수상한 DAYS 개막♥
43,검지천 도지황 [단행본],글/그림 / 황재 / 27화 완결 / ,무협,한 척의 조각배를 호해에 띄우고 고위 고관 따위는 정중히 사절하리라. 마음 내키는 대로 술을 즐기리니 세상 명예나 평탄 따위는 탓하지 않으리라. 분주하게 들떠있는 스무 해 동안 학문도 무인의 길도 이루지 못했다. 산수가 아름다운 오월에나 가볼까 서울의 번거로움이 진절머리가 나누나.
44,하승남 통제불능 컬렉션,글/그림 / 하승남 / 168화 완결 / ,무협,<하승남 통제불능 컬렉션> 작품구성 1. 골통천하무쌍(원제:골통깡치) [개정판] 2. 막장순검 [개정판] 3. 통제불능 [개정판]
45,토요일은 새우튀김 [19세 완전판],글/그림 / 인톨 / 원작 / 봄봄치 / 61화 완결 / ,BL,"태권도 사범(특이사항:금사빠)인 구원과, 그의 친구이자 매일의 식사를 책임지고 있는 작은 식당의 사장 토람. 매번 구원의 실연을 위로해주고, 배고플 때 밥 먹여주고, 술 취했을 때 뒤치다꺼리까지 해주는 우렁각시(?) 토람과 3년 동안 미묘한 관계를 이어오던 구원은, 어느 날 토람이 꼭꼭 숨기고 있던 크나큰 비밀을 알게 되어 버리는데...! 츤데레 미남 토람과, 쾌활하고 능청스러운 구원의 바삭바삭한 보은 로맨스!"
46,질풍의 불청객 [단행본],글/그림 / 고행석 / 16화 완결 / ,액션,올림픽 육상 100m 결승전에서 박은하와 마틴 제인의 치열한 각축전이 벌어졌다. 마지막 스퍼트로 앞서나가던 박은하는 결승선을 앞두고 쓰러지고 마는데…
47,야설록 방랑무사 컬렉션,글/그림 / 야설록 / 194화 완결 / ,무협,<야설록 방랑무사 컬렉션> 작품구성 1. 무정도 [개정판] 2. 소림사 향객 살인사건 [개정판] 3. 절대검호 [개정판]
48,"Oh, Boy! (오, 보이!) [개정판]",글/그림 / 김윤이 / 32화 완결 / ,BL,중국요리 집을 하는 아버지를 도와 배달을 하는 지무의 꿈은 아르바이트비를 모아 자신의 오토바이를 사는 것이다. 그러던 어느 날 친구들과 스쿠터를 타고 밤거리를 달리던 중 폭주족을 만나 시비가 붙어 친구 덕배가 넘어진다. 화가 난 지무는 그 패거리 중에서 낙오된 한 명을 붙잡는데…. 혈기왕성한 지무와 친구들이 펼쳐가는 청춘 만화!
49,빨리 하고 싶은 두 사람,글/그림 / 쿠사카 아키 / 109화 완결 / ,로맨스,"날라리 여자 주인공 유리가 사귀게 된 사람은 조부, 부친 모두가 내각총리대신을 지낸 초엘리트 가문의 남자, 카츠라기 케이이치로. 게다가 카츠라기 가(家)에는, 남자는 18세가 될 때까지 여자와 일정 성적인 접촉을 해서는 안 된다는 「관례」가 있는데 과연 두 사람은 빨리 할 수 있을까"
50,마등귀화 [단행본],글/그림 / 천제황 / 11화 완결 / ,무협,미인 증발 괴사!! 불과 몇 달 사이에 강호의 각처에서 미(美)와 무(武)의 영명(英名)을 날리던 숱한 미녀들이 실종되었다 원인도 없고 흔적도 없는 문자 그대로의 증발이었다!!!
51,어둠의 소년,글 / 나가사키 타카시 / 그림 / 잇시키 마코토 / 17화 완결 / ,드라마,"평소처럼 동네 숲을 탐험하고 있던 소년 히카루와 그의 친구들. 그런데 오늘은 숲의 상태가 뭔가 좀 다르다. 무언가에 이끌리듯이, 숲속 깊은 곳에 있는 저택에 도착한 히카루 일행. 그곳에서 일어난 어떤 '해후'를 계기로 일상이 달라지기 시작하는데…?!"
